,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum
,NUM,NUM,NUM,NUM,NUM,NUM,NUM,NUM,NUM,NUM,NUM,NUM,NUM,NUM,NUM,NUM
MONTH,2018-01-01 00:00:00,2018-02-01 00:00:00,2018-03-01 00:00:00,2018-04-01 00:00:00,2018-05-01 00:00:00,2018-06-01 00:00:00,2018-07-01 00:00:00,2018-08-01 00:00:00,2018-09-01 00:00:00,2018-10-01 00:00:00,2018-11-01 00:00:00,2018-12-01 00:00:00,2019-01-01 00:00:00,2019-02-01 00:00:00,2019-03-01 00:00:00,2019-04-01 00:00:00
PLATFORM,,,,,,,,,,,,,,,,
Android,7669384,7546364,7903914,7553419,7558502,7620247,7679445,7733279,7788815,7736874,7593816,7508921,7780280,7661981,8158412,5134548
Unknown,60,60,71,45,115,154,178,201,184,176,152,121,143,126,151,43
iOS,7944314,7940021,8485590,8362756,8541980,8689446,9044219,9483315,9749599,9664854,9568336,9665081,10144995,10027359,10767073,7370212
