,sum,sum,sum,sum
,SUBSCRIPTION_TNC_SCREENVIEWS,SUBSCRIPTION_TNC_SCREENVIEWS,SUBSCRIPTION_TNC_USERS,SUBSCRIPTION_TNC_USERS
PLATFORM,AD,iOS,AD,iOS
DATE,,,,
2018-12-01,75,53716,62,42956
2019-01-01,69703,110534,52871,87672
2019-02-01,73060,95105,55337,76504
2019-03-01,64644,115915,48648,92581
2019-04-01,4199,50522,3122,41791
